mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
8.131922324498495,2.453754855734954,0.4360021750132243,0.01300468463079439,10,0.3,5,500,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_split': 5, 'n_estimators': 500}",-236.2176678560186,-204.5137440682924,-278.54538821274446,-239.7589333790185,30.326847344786614,61
1.8865436712900798,0.5041005212483962,0.11317125956217448,0.010804203107347438,10,0.3,10,100,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_split': 10, 'n_estimators': 100}",-246.22144504869178,-202.64869500512745,-280.48441744208,-243.11818583196637,31.851976235342363,80
3.2399303913116455,0.9357178345788124,0.22762091954549155,0.021571263845101125,10,0.3,10,200,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_split': 10, 'n_estimators': 200}",-238.55627256253564,-202.637431122734,-281.72594178044625,-240.9732151552386,32.33294850083098,70
8.343961795171102,2.609809787939272,0.4785740375518799,0.01096018805583188,10,0.3,10,500,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_split': 10, 'n_estimators': 500}",-237.8314115108235,-202.89277671447158,-280.0796241225384,-240.2679374492778,31.558462649349895,66
2.56003737449646,1.128254992004429,0.17481748263041177,0.02365797169956496,10,0.5,2,100,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_split': 2, 'n_estimators': 100}",-225.2277781102041,-195.89088521623762,-258.18690688594285,-226.43519007079485,25.44657097659105,17
4.975358645121257,1.7097894011514474,0.24778000513712564,0.013655119236952734,10,0.5,2,200,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_split': 2, 'n_estimators': 200}",-230.31999241788657,-194.02005052654354,-257.52383480647336,-227.28795925030116,26.01381137415237,24
12.28055771191915,4.432921151052645,0.5413190523783366,0.06073752316449546,10,0.5,2,500,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_split': 2, 'n_estimators': 500}",-230.14779594837444,-193.16382360619716,-257.431520592256,-226.91438004894255,26.336608902906658,20
2.6956711610158286,0.9566295631501939,0.17646185557047525,0.0025278707250375176,10,0.5,5,100,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_split': 5, 'n_estimators': 100}",-235.71078999807787,-194.80174843299065,-259.0233323425058,-229.8452902578581,26.5443782543324,27
5.129860242207845,1.798835657872167,0.2715737024943034,0.02292800380106385,10,0.5,5,200,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_split': 5, 'n_estimators': 200}",-230.4497281009906,-193.418211953144,-258.0381124480885,-227.30201750074102,26.474691644553978,25
12.326263109842936,4.417252839363239,0.5092255274454752,0.018200232917338428,10,0.5,5,500,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_split': 5, 'n_estimators': 500}",-227.35291929715237,-192.814993231623,-257.5325259297256,-225.90014615283363,26.440785061329457,16
